POPTOTAL,HOUSEHOLDCOUNT,RACEHISPANICORIGIN,RACEHISPANICRATIO,RACEWHITENONHISP,RACEWHITERATIO,RACEBLACKNONHISP,RACEBLACKRATIO,RACEASIANNONHISP,RACEASIANRATIO,RACEOTHER,RACEOTHERRATIO,RACEBIPOC,RACEBIPOCRATIO,INCMEDIANINCOME,INCMEDIANHISPANIC,INCMEDIANWHITE,INCMEDIANASIAN,INCMEDIANOTHER,LANGGROUPPOPULATION,LEPTOTAL,LEPRATIO,LEPSPANISH,LEPSPANISHRATIO,LEPINDOEUROPEAN,LEPINDOEUROPEANRATIO,LEPASIANPACIFICISLAND,LEPASIANPACIFICISLANDRATIO,LEPOTHER,LEPOTHERRATIO,EDUGROUPPOPULATION,EDULESSTHANHS,EDULESSTHANHSRATIO
2879,1456,167,0.058,883,0.307,79,0.027,1666,0.579,84,0.029,1996,0.693,201190,173262,223382,223512,173445,2691,555,0.206,24,0.043,70,0.126,451,0.813,10,0.018,2367,10,0.004
5270,1881,885,0.168,3085,0.585,0,0,1005,0.191,295,0.056,2185,0.415,219107,221154,208864,241250,412829,4775,249,0.052,57,0.229,36,0.145,156,0.627,0,0,3728,33,0.009
5965,2680,871,0.146,1026,0.172,25,0.004,3891,0.652,152,0.025,4939,0.828,185227,119872,133913,233018,250032,5574,574,0.103,152,0.265,178,0.31,203,0.354,41,0.071,4899,49,0.01
6327,1967,365,0.058,3350,0.529,282,0.045,1593,0.252,737,0.116,2977,0.471,247039,250000,215054,250000,250000,5969,511,0.086,40,0.078,192,0.376,189,0.37,90,0.176,4196,41,0.01
4624,1432,612,0.132,2778,0.601,18,0.004,872,0.189,344,0.074,1846,0.399,250000,250000,250000,250000,193884,4464,303,0.068,34,0.112,86,0.284,157,0.518,26,0.086,3018,36,0.012
3663,1474,619,0.169,1435,0.392,81,0.022,1295,0.354,233,0.064,2228,0.608,159792,173958,112679,190905,287130,3402,581,0.171,103,0.177,109,0.188,362,0.623,7,0.012,2667,43,0.016
3912,1336,652,0.167,2044,0.522,84,0.021,834,0.213,298,0.076,1868,0.478,170270,229688,170781,130673,171607,3737,235,0.063,80,0.34,40,0.17,115,0.489,0,0,2901,47,0.016
4884,1802,1390,0.285,1662,0.34,104,0.021,1411,0.289,317,0.065,3222,0.66,143729,111438,129792,203875,216275,4613,607,0.132,128,0.211,126,0.208,334,0.55,19,0.031,3459,62,0.018
5705,1717,387,0.068,1987,0.348,0,0,2928,0.513,403,0.071,3718,0.652,250000,158152,214107,250000,250000,5548,713,0.129,3,0.004,107,0.15,576,0.808,27,0.038,3820,71,0.019
8174,2802,590,0.072,5426,0.664,85,0.01,1480,0.181,593,0.073,2748,0.336,206951,250000,169142,250000,462344,7934,531,0.067,93,0.175,116,0.218,322,0.606,0,0,5517,117,0.021
5476,1386,855,0.156,2594,0.474,213,0.039,1577,0.288,237,0.043,2882,0.526,117000,84135,95781,135333,124318,5263,416,0.079,33,0.079,78,0.188,297,0.714,8,0.019,1971,44,0.022
5811,1872,122,0.021,1058,0.182,0,0,4363,0.751,268,0.046,4753,0.818,250000,76357,208750,250000,193125,5555,1029,0.185,9,0.009,107,0.104,906,0.88,7,0.007,3750,89,0.024
4015,1670,521,0.13,1553,0.387,126,0.031,1538,0.383,277,0.069,2462,0.613,139702,101638,138690,176429,303333,3871,367,0.095,30,0.082,76,0.207,261,0.711,0,0,2983,77,0.026
3579,1005,185,0.052,488,0.136,28,0.008,2726,0.762,152,0.042,3091,0.864,232098,73125,169032,250000,245662,3418,615,0.18,16,0.026,60,0.098,539,0.876,0,0,2372,64,0.027
5049,2007,445,0.088,2921,0.579,149,0.03,1230,0.244,304,0.06,2128,0.421,164821,123565,141371,250000,108500,4949,657,0.133,30,0.046,241,0.367,270,0.411,116,0.177,3858,105,0.027
3026,1047,434,0.143,1842,0.609,24,0.008,392,0.13,334,0.11,1184,0.391,175592,140227,175066,241250,250000,2783,154,0.055,35,0.227,15,0.097,104,0.675,0,0,2156,61,0.028
5050,1787,958,0.19,2907,0.576,30,0.006,926,0.183,229,0.045,2143,0.424,172917,121667,173877,198750,157625,4668,293,0.063,91,0.311,36,0.123,166,0.567,0,0,3586,99,0.028
4268,1309,453,0.106,1849,0.433,21,0.005,1833,0.429,112,0.026,2419,0.567,212679,94063,188287,245750,102750,4004,530,0.132,56,0.106,113,0.213,346,0.653,15,0.028,3018,89,0.029
3998,2094,839,0.21,2188,0.547,166,0.042,596,0.149,209,0.052,1810,0.453,110395,162868,103793,191179,342925,3779,220,0.058,28,0.127,28,0.127,136,0.618,28,0.127,3058,94,0.031
5546,1983,414,0.075,1191,0.215,196,0.035,3525,0.636,220,0.04,4355,0.785,188047,231029,99556,244821,241563,5311,1620,0.305,51,0.031,213,0.131,1356,0.837,0,0,3831,147,0.038
2618,1299,588,0.225,816,0.312,258,0.099,780,0.298,176,0.067,1802,0.688,126917,142333,156905,103239,413750,2565,555,0.216,176,0.317,32,0.058,256,0.461,91,0.164,2130,83,0.039
4252,1515,431,0.101,1924,0.452,6,0.001,1320,0.31,571,0.134,2328,0.548,250000,86220,210694,250000,336339,4094,467,0.114,64,0.137,53,0.113,313,0.67,37,0.079,3010,116,0.039
5885,1946,933,0.159,2674,0.454,72,0.012,1761,0.299,445,0.076,3211,0.546,193981,160410,208236,213472,161466,5619,588,0.105,173,0.294,55,0.094,355,0.604,5,0.009,4098,161,0.039
7156,2001,486,0.068,494,0.069,365,0.051,5701,0.797,110,0.015,6662,0.931,250000,250000,250000,250000,250000,6917,842,0.122,16,0.019,160,0.19,666,0.791,0,0,4654,184,0.04
4242,1633,1028,0.242,2096,0.494,80,0.019,893,0.211,145,0.034,2146,0.506,165750,127875,165167,250000,304042,4101,254,0.062,40,0.157,34,0.134,148,0.583,32,0.126,3186,132,0.041
5020,2093,868,0.173,2986,0.595,207,0.041,745,0.148,214,0.043,2034,0.405,171885,154531,165352,250000,233162,4824,389,0.081,168,0.432,78,0.201,143,0.368,0,0,4084,168,0.041
8409,2770,452,0.054,2514,0.299,405,0.048,4229,0.503,809,0.096,5895,0.701,175179,114024,180227,178018,223427,7881,1735,0.22,208,0.12,190,0.11,1315,0.758,22,0.013,6056,249,0.041
4378,1377,993,0.227,1941,0.443,0,0,1118,0.255,326,0.074,2437,0.557,184917,179653,169375,230750,211023,4186,342,0.082,76,0.222,30,0.088,236,0.69,0,0,3080,132,0.043
6384,1836,954,0.149,1264,0.198,224,0.035,3149,0.493,793,0.124,5120,0.802,192176,230288,138672,250000,354105,5883,780,0.133,91,0.117,47,0.06,570,0.731,72,0.092,4198,184,0.044
6180,2480,825,0.133,2861,0.463,435,0.07,1779,0.288,280,0.045,3319,0.537,180155,141146,162406,197375,250000,5986,862,0.144,80,0.093,90,0.104,496,0.575,196,0.227,4614,207,0.045
7090,2288,986,0.139,3387,0.478,257,0.036,2184,0.308,276,0.039,3703,0.522,175938,71083,173452,250000,95233,6849,743,0.108,92,0.124,82,0.11,503,0.677,66,0.089,4796,222,0.046
4455,1650,626,0.141,2781,0.624,80,0.018,588,0.132,380,0.085,1674,0.376,144254,98359,136250,219375,190179,4095,183,0.045,44,0.24,60,0.328,79,0.432,0,0,3112,145,0.047
6927,2220,1731,0.25,2594,0.374,156,0.023,1955,0.282,491,0.071,4333,0.626,148700,166042,133568,190508,83571,6591,831,0.126,270,0.325,81,0.097,446,0.537,34,0.041,4738,226,0.048
6023,2560,1343,0.223,1064,0.177,183,0.03,3167,0.526,266,0.044,4959,0.823,137273,88750,122500,158510,62019,5541,1179,0.213,301,0.255,142,0.12,646,0.548,90,0.076,4721,236,0.05
6213,2155,1532,0.247,3136,0.505,67,0.011,1149,0.185,329,0.053,3077,0.495,151010,87500,156838,250000,285230,5881,963,0.164,352,0.366,468,0.486,143,0.148,0,0,4281,216,0.05
5611,2081,1274,0.227,2358,0.42,186,0.033,1345,0.24,448,0.08,3253,0.58,136691,95365,135694,250000,64420,5139,525,0.102,102,0.194,171,0.326,219,0.417,33,0.063,3786,193,0.051
4995,1625,870,0.174,2467,0.494,137,0.027,1192,0.239,329,0.066,2528,0.506,122356,119813,121750,156375,112031,4663,578,0.124,83,0.144,159,0.275,290,0.502,46,0.08,3469,183,0.053
4723,2047,684,0.145,1186,0.251,184,0.039,2463,0.521,206,0.044,3537,0.749,159375,85278,113378,189797,114583,4544,1053,0.232,212,0.201,83,0.079,676,0.642,82,0.078,3747,205,0.055
4918,2016,1805,0.367,1939,0.394,79,0.016,933,0.19,162,0.033,2979,0.606,116596,107241,121250,152143,199971,4550,595,0.131,226,0.38,146,0.245,179,0.301,44,0.074,3487,192,0.055
8064,2999,621,0.077,723,0.09,46,0.006,6387,0.792,287,0.036,7341,0.91,167277,63214,194330,175000,145938,7612,2175,0.286,50,0.023,90,0.041,2035,0.936,0,0,5861,325,0.055
3680,1274,1211,0.329,805,0.219,162,0.044,1301,0.354,201,0.055,2875,0.781,117162,131484,93897,163958,328198,3592,611,0.17,158,0.259,119,0.195,303,0.496,31,0.051,2640,151,0.057
4088,1479,2040,0.499,1104,0.27,48,0.012,700,0.171,196,0.048,2984,0.73,112793,113630,117313,91458,186459,3872,716,0.185,529,0.739,8,0.011,49,0.068,130,0.182,2260,132,0.058
3048,1373,935,0.307,1704,0.559,34,0.011,242,0.079,133,0.044,1344,0.441,148417,139153,173086,250000,139030,2914,177,0.061,82,0.463,0,0,84,0.475,11,0.062,2282,137,0.06
2932,988,850,0.29,1160,0.396,0,0,793,0.27,129,0.044,1772,0.604,169219,198155,174500,146071,202532,2724,418,0.153,27,0.065,67,0.16,256,0.612,68,0.163,2059,126,0.061
4710,2141,1255,0.266,1754,0.372,137,0.029,1235,0.262,329,0.07,2956,0.628,142793,74183,120543,205417,322332,4458,712,0.16,212,0.298,171,0.24,317,0.445,12,0.017,3756,240,0.064
7849,2516,2694,0.343,3292,0.419,93,0.012,1401,0.178,369,0.047,4557,0.581,155000,127813,151296,250000,128339,7487,591,0.079,196,0.332,37,0.063,358,0.606,0,0,4990,321,0.064
6164,2442,1611,0.261,1446,0.235,305,0.049,2572,0.417,230,0.037,4718,0.765,120889,58693,72269,193125,92933,5610,1348,0.24,348,0.258,336,0.249,664,0.493,0,0,4182,274,0.066
5504,2311,1416,0.257,1212,0.22,222,0.04,2350,0.427,304,0.055,4292,0.78,113893,72635,124338,131451,184938,4933,902,0.183,223,0.247,56,0.062,623,0.691,0,0,3746,251,0.067
2922,905,409,0.14,1336,0.457,67,0.023,907,0.31,203,0.069,1586,0.543,182344,169167,199808,163000,250000,2696,446,0.165,60,0.135,123,0.276,263,0.59,0,0,1995,136,0.068
3934,1241,425,0.108,686,0.174,17,0.004,2577,0.655,229,0.058,3248,0.826,250000,250000,250000,250000,250000,3836,240,0.063,0,0,30,0.125,210,0.875,0,0,2627,178,0.068
5936,1803,1688,0.284,1914,0.322,177,0.03,1551,0.261,606,0.102,4022,0.678,184539,181250,182135,247292,410586,5694,867,0.152,303,0.349,356,0.411,198,0.228,10,0.012,4417,303,0.069
3185,1258,695,0.218,1784,0.56,108,0.034,351,0.11,247,0.078,1401,0.44,166833,141759,203000,234028,294264,2971,346,0.116,203,0.587,86,0.249,57,0.165,0,0,2265,161,0.071
2983,968,634,0.213,1170,0.392,61,0.02,894,0.3,224,0.075,1813,0.608,226364,179097,188472,248750,179861,2816,334,0.119,182,0.545,12,0.036,140,0.419,0,0,2181,156,0.072
6537,2378,1613,0.247,3645,0.558,67,0.01,809,0.124,403,0.062,2892,0.442,212722,195123,250000,250000,365957,5882,528,0.09,337,0.638,59,0.112,132,0.25,0,0,4532,334,0.074
4369,1906,1556,0.356,1127,0.258,86,0.02,1311,0.3,289,0.066,3242,0.742,88583,75729,131509,50795,147738,4138,710,0.172,158,0.223,52,0.073,500,0.704,0,0,3505,263,0.075
5137,1788,1293,0.252,1759,0.342,100,0.019,1715,0.334,270,0.053,3378,0.658,114574,99155,104289,165527,114286,4772,836,0.175,364,0.435,169,0.202,303,0.362,0,0,3490,266,0.076
6719,1880,976,0.145,799,0.119,60,0.009,4714,0.702,170,0.025,5920,0.881,166042,151458,122222,185625,337179,6553,1716,0.262,156,0.091,56,0.033,1504,0.876,0,0,4801,364,0.076
3960,1419,1312,0.331,1661,0.419,84,0.021,691,0.174,212,0.054,2299,0.581,123994,99338,159583,222688,221638,3717,448,0.121,144,0.321,161,0.359,143,0.319,0,0,2780,214,0.077
4150,1719,1621,0.391,765,0.184,237,0.057,1259,0.303,268,0.065,3385,0.816,116250,115197,113068,184913,217983,3915,877,0.224,495,0.564,162,0.185,193,0.22,27,0.031,2925,226,0.077
2545,1029,803,0.316,805,0.316,157,0.062,530,0.208,250,0.098,1740,0.684,146607,144286,161667,149821,160417,2385,288,0.121,124,0.431,29,0.101,128,0.444,7,0.024,1902,148,0.078
4279,1720,1214,0.284,1705,0.398,154,0.036,880,0.206,326,0.076,2574,0.602,132698,104167,119398,195167,347589,3934,328,0.083,117,0.357,114,0.348,91,0.277,6,0.018,3160,246,0.078
3887,1537,873,0.225,1334,0.343,88,0.023,1449,0.373,143,0.037,2553,0.657,125208,76958,118417,170822,76442,3682,639,0.174,97,0.152,101,0.158,385,0.603,56,0.088,2825,222,0.079
4608,1365,1164,0.253,720,0.156,299,0.065,2266,0.492,159,0.035,3888,0.844,176354,212614,174844,136202,213144,4455,832,0.187,171,0.206,91,0.109,570,0.685,0,0,3378,266,0.079
4404,1485,1096,0.249,1607,0.365,72,0.016,1405,0.319,224,0.051,2797,0.635,126326,78722,137731,171844,183125,4258,630,0.148,13,0.021,57,0.09,440,0.698,120,0.19,3177,258,0.081
5783,1657,1507,0.261,2712,0.469,77,0.013,1222,0.211,265,0.046,3071,0.531,187813,131563,187813,199063,140898,5400,736,0.136,361,0.49,145,0.197,174,0.236,56,0.076,3955,321,0.081
3064,952,756,0.247,1170,0.382,72,0.023,897,0.293,169,0.055,1894,0.618,172929,176250,171563,186250,327083,2877,358,0.124,88,0.246,10,0.028,260,0.726,0,0,2162,180,0.083
4483,2425,1202,0.268,1727,0.385,550,0.123,673,0.15,331,0.074,2756,0.615,152112,112788,208869,114292,190587,4411,751,0.17,378,0.503,45,0.06,195,0.26,133,0.177,3867,330,0.085
6720,2113,1219,0.181,471,0.07,122,0.018,4604,0.685,304,0.045,6249,0.93,175625,110594,120903,201288,250000,6381,1283,0.201,243,0.189,108,0.084,932,0.726,0,0,5005,431,0.086
3725,1381,524,0.141,1171,0.314,2,0.001,1733,0.465,295,0.079,2554,0.686,119663,185208,83906,250000,182813,3590,451,0.126,22,0.049,143,0.317,286,0.634,0,0,3011,261,0.087
5101,2154,990,0.194,1906,0.374,243,0.048,1512,0.296,450,0.088,3195,0.626,121667,122574,136250,135197,135371,4687,572,0.122,238,0.416,34,0.059,300,0.524,0,0,4039,353,0.087
4184,1262,1142,0.273,1473,0.352,158,0.038,1227,0.293,184,0.044,2711,0.648,172115,147500,250000,147321,253080,4020,778,0.194,319,0.41,99,0.127,360,0.463,0,0,3307,296,0.09
5244,1707,1319,0.252,2224,0.424,14,0.003,1309,0.25,378,0.072,3020,0.576,174926,118707,153750,220486,121696,4747,732,0.154,310,0.423,61,0.083,361,0.493,0,0,3660,367,0.1
5398,2181,1710,0.317,2325,0.431,145,0.027,932,0.173,286,0.053,3073,0.569,116783,130144,89973,210972,130982,5126,660,0.129,315,0.477,123,0.186,175,0.265,47,0.071,4067,417,0.103
4237,1466,1077,0.254,1638,0.387,29,0.007,1268,0.299,225,0.053,2599,0.613,117194,120221,116071,175000,110500,3990,762,0.191,192,0.252,159,0.209,363,0.476,48,0.063,3067,332,0.108
